StateAbbr,Geolocation,LocationName,Year,Cholesterol screening among adults,High blood pressure among adults,High cholesterol among adults who have ever been screened,Taking medicine to control high blood pressure among adults with high blood pressure
AK,POINT (-161.964571410747 55.359979555826),Aleutians East,2021,72.94999999999999,30.9,30.05,62.25
AK,POINT (-110.244912258458 52.7943036111183),Aleutians West,2021,73.65,28.55,30.6,59.25
AK,POINT (-149.112545841578 61.150482370682),Anchorage,2021,78.3,26.85,28.05,60.349999999999994
AK,POINT (-159.82324096097 60.9128860869079),Bethel,2021,66.0,35.35,28.65,58.7
AK,POINT (-156.700132487576 58.7440261738219),Bristol Bay,2021,77.75,30.8,29.95,60.8
AK,POINT (-145.846670254475 60.7148095406379),Chugach,2021,77.45,26.5,30.7,62.2
AK,POINT (-143.967989524598 61.8833837156363),Copper River,2021,76.3,30.25,32.150000000000006,64.25
AK,POINT (-150.011615254067 63.6714884543977),Denali,2021,76.55,28.2,28.55,62.8
AK,POINT (-158.236178154164 59.7978171220014),Dillingham,2021,69.1,31.1,27.55,59.3
AK,POINT (-146.565627734256 64.8075316814407),Fairbanks North Star,2021,73.7,27.2,28.65,58.849999999999994
AK,POINT (-135.500167586106 59.119335495324),Haines,2021,74.94999999999999,31.85,31.75,64.95
AK,POINT (-135.641352469501 58.2866674624936),Hoonah-Angoon,2021,76.65,34.400000000000006,32.45,64.25
AK,POINT (-134.172902838081 58.4491350384727),Juneau,2021,77.85,28.4,29.3,59.4
AK,POINT (-151.5538621838 60.2599690239553),Kenai Peninsula,2021,76.6,31.25,32.65,61.55
AK,POINT (-130.936350933263 55.586579401666),Ketchikan Gateway,2021,76.55000000000001,29.0,30.450000000000003,63.849999999999994
AK,POINT (-153.789812278338 57.6808874751479),Kodiak Island,2021,75.15,28.200000000000003,30.85,61.65
AK,POINT (-163.385871730467 62.1566155670538),Kusilvak,2021,63.0,38.7,29.25,59.5
AK,POINT (-156.194112811655 58.6489291768631),Lake and Peninsula,2021,74.15,31.1,28.75,61.25
AK,POINT (-149.573459107234 62.3154231338699),Matanuska-Susitna,2021,73.4,30.75,29.95,59.35
AK,POINT (-164.033919932189 64.9109901665876),Nome,2021,66.65,32.65,28.1,58.300000000000004
AK,POINT (-153.47938789872 69.3135617388991),North Slope,2021,71.19999999999999,32.8,29.2,56.75
AK,POINT (-159.722233405755 67.0527933404638),Northwest Arctic,2021,68.75,33.05,28.450000000000003,59.5
AK,POINT (-132.936273558469 57.1215033506989),Petersburg,2021,77.35,28.4,29.900000000000002,63.05
AK,POINT (-133.055155796378 55.8173059571036),Prince of Wales-Hyder,2021,74.5,34.7,31.5,63.7
AK,POINT (-135.315163429465 57.2335274122738),Sitka,2021,77.4,29.15,29.0,61.400000000000006
AK,POINT (-135.336028290736 59.5592737178809),Skagway,2021,75.85,29.15,30.05,60.95
AK,POINT (-143.213550848982 63.8762788125121),Southeast Fairbanks,2021,73.75,32.400000000000006,31.049999999999997,60.45
AK,POINT (-132.033291099899 56.3275352874816),Wrangell,2021,75.15,34.150000000000006,33.85,63.85
AK,POINT (-140.357660106358 59.8890141407815),Yakutat,2021,76.25,32.75,31.35,61.9
AK,POINT (-151.390098989755 65.5085661031514),Yukon-Koyukuk,2021,70.85,36.900000000000006,30.450000000000003,61.8
AL,POINT (-86.6428164158396 32.5350016195151),Autauga,2021,86.55000000000001,38.85,33.7,73.35
AL,POINT (-87.7226204578951 30.7277455824565),Baldwin,2021,86.75,35.55,35.35,72.75
AL,POINT (-85.3928136383141 31.8698172860413),Barbour,2021,83.44999999999999,46.5,36.099999999999994,75.75
AL,POINT (-87.1265925390144 32.9984605509544),Bibb,2021,83.15,40.7,36.1,72.6
AL,POINT (-86.5674545509626 33.9808484356408),Blount,2021,83.85,37.95,36.85,71.4
AL,POINT (-85.7157596722874 32.1005731304216),Bullock,2021,83.19999999999999,50.65,35.4,76.1
AL,POINT (-86.6804536012984 31.7525985102121),Butler,2021,85.75,44.75,36.4,75.85
AL,POINT (-85.8257674379293 33.7714931264898),Calhoun,2021,85.15,39.65,34.95,73.25
AL,POINT (-85.3917577489906 32.9141677822456),Chambers,2021,84.15,43.9,36.0,75.2
AL,POINT (-85.6038430238838 34.1758355642538),Cherokee,2021,85.30000000000001,40.349999999999994,36.65,74.15
AL,POINT (-86.7185602930782 32.8479267319968),Chilton,2021,85.75,38.75,35.599999999999994,73.05000000000001
AL,POINT (-88.2631706219377 32.0198224293383),Choctaw,2021,85.55,46.75,37.35,76.2
AL,POINT (-87.8308687688628 31.6768474292414),Clarke,2021,84.85,44.75,35.349999999999994,75.9
AL,POINT (-85.8606604130173 33.2693085517833),Clay,2021,83.80000000000001,41.75,36.75,73.9
AL,POINT (-85.5179075897695 33.6749172926082),Cleburne,2021,83.80000000000001,39.349999999999994,36.55,72.94999999999999
AL,POINT (-85.9880914738148 31.4024803007311),Coffee,2021,86.95,37.25,32.5,72.65
AL,POINT (-87.8049657872681 34.7004396828047),Colbert,2021,85.35,39.45,35.6,72.8
AL,POINT (-86.9935445067511 31.4293022573494),Conecuh,2021,85.85,46.0,36.4,76.65
AL,POINT (-86.2475655062285 32.9362201904239),Coosa,2021,85.4,42.55,36.7,74.95
AL,POINT (-86.451444907521 31.2486200676573),Covington,2021,84.85,38.85,35.15,74.05
AL,POINT (-86.3135271841638 31.7314522019174),Crenshaw,2021,84.44999999999999,40.8,36.35,74.0
AL,POINT (-86.8674617693469 34.1321232297422),Cullman,2021,84.25,38.4,36.150000000000006,71.75
AL,POINT (-85.6109266826185 31.4316629601359),Dale,2021,85.9,40.25,36.05,73.3
AL,POINT (-87.1065206124462 32.3258306814392),Dallas,2021,86.55,48.2,35.0,77.55
AL,POINT (-85.8039693236418 34.4598606858773),DeKalb,2021,81.85,39.5,36.95,72.95
AL,POINT (-86.1484340236509 32.5970686891064),Elmore,2021,86.65,37.3,33.1,71.8
AL,POINT (-87.1617426535115 31.1261990377952),Escambia,2021,84.3,44.0,34.3,74.5
AL,POINT (-86.0349319631417 34.0451449448922),Etowah,2021,85.0,39.4,35.95,73.55
AL,POINT (-87.7389050506601 33.7211713531213),Fayette,2021,83.15,42.3,37.25,73.80000000000001
AL,POINT (-87.8436750232892 34.4417388803873),Franklin,2021,83.0,38.9,35.75,73.05
AL,POINT (-85.8396481010202 31.0950365894133),Geneva,2021,84.6,40.099999999999994,37.599999999999994,74.45
AL,POINT (-87.9519483428688 32.8530437219041),Greene,2021,84.65,54.05,36.900000000000006,79.19999999999999
AL,POINT (-87.6288617663726 32.7624422973756),Hale,2021,85.0,46.650000000000006,35.45,76.15
AL,POINT (-85.2412788046304 31.5148475570572),Henry,2021,84.45,41.85,36.55,74.69999999999999
AL,POINT (-85.3024748570754 31.153023163546),Houston,2021,84.35,41.3,33.95,73.5
AL,POINT (-85.9995052603961 34.7796392771775),Jackson,2021,83.9,39.05,37.1,72.6
AL,POINT (-86.896632302754 33.554557948471),Jefferson,2021,85.80000000000001,40.5,33.4,74.30000000000001
AL,POINT (-88.0969548281156 33.7791463830423),Lamar,2021,85.05000000000001,40.7,36.3,73.85
AL,POINT (-87.6540983850983 34.9014438477101),Lauderdale,2021,85.45,37.5,36.1,72.44999999999999
AL,POINT (-87.3108851040374 34.5216735395968),Lawrence,2021,84.19999999999999,40.55,35.900000000000006,72.94999999999999
AL,POINT (-85.3550362108983 32.601254498925),Lee,2021,81.95,35.7,31.65,71.55
AL,POINT (-86.9814538074536 34.8102607960627),Limestone,2021,86.1,36.25,34.65,72.05
AL,POINT (-86.6500611800636 32.1550262402887),Lowndes,2021,85.94999999999999,50.9,34.9,77.8
AL,POINT (-85.6921198346528 32.3858126404866),Macon,2021,85.35,47.3,33.85,76.15
AL,POINT (-86.550355969647 34.7630088775779),Madison,2021,87.5,36.2,33.35,71.35
AL,POINT (-87.7895124506775 32.2478854975948),Marengo,2021,84.85,46.6,36.3,76.35
AL,POINT (-87.8871984960778 34.1365876476739),Marion,2021,84.8,39.55,36.9,73.55
AL,POINT (-86.306202322979 34.3673847093536),Marshall,2021,84.55,37.6,35.15,70.95
AL,POINT (-88.20640909701 30.7791692937068),Mobile,2021,85.35,39.9,35.45,75.6
AL,POINT (-87.3654708804686 31.570816777416),Monroe,2021,84.75,45.05,36.8,75.75
AL,POINT (-86.2076996333806 32.220703470576),Montgomery,2021,85.55,42.75,32.9,73.9
AL,POINT (-86.8530296512976 34.453569812448),Morgan,2021,84.30000000000001,39.8,36.55,73.2
AL,POINT (-87.2942727229619 32.6384797740624),Perry,2021,82.55,50.900000000000006,36.85,77.69999999999999
AL,POINT (-88.0891310718596 33.2807870081005),Pickens,2021,84.85,44.05,35.4,75.25
AL,POINT (-85.9407627085231 31.8027535253528),Pike,2021,83.0,38.4,32.8,73.3
AL,POINT (-85.4593334042301 33.293864006059),Randolph,2021,84.55000000000001,42.150000000000006,35.55,74.35
AL,POINT (-85.1846581812352 32.2882099895674),Russell,2021,85.0,43.05,34.5,74.5
AL,POINT (-86.6608662882591 33.2645243865867),Shelby,2021,87.9,35.25,33.35,71.8
AL,POINT (-86.3145905166032 33.7153193943775),St. Clair,2021,86.05,35.7,35.7,71.3
AL,POINT (-88.1991356439475 32.5909755138009),Sumter,2021,82.25,47.65,35.0,76.5
AL,POINT (-86.1654714346314 33.3800641404691),Talladega,2021,85.15,43.6,36.4,75.0
AL,POINT (-85.797257686572 32.862586933353),Tallapoosa,2021,86.15,42.15,37.349999999999994,74.25
AL,POINT (-87.5254019048087 33.2894088277374),Tuscaloosa,2021,83.75,38.6,33.75,71.9
AL,POINT (-87.2978092396997 33.8031253577516),Walker,2021,83.30000000000001,39.05,36.3,73.3
AL,POINT (-88.2081714139416 31.4075499895542),Washington,2021,83.35,44.4,36.85,74.05
AL,POINT (-87.3083095693845 31.9892939338512),Wilcox,2021,83.75,51.0,35.900000000000006,77.4
AL,POINT (-87.373658054727 34.1492657099146),Winston,2021,85.75,39.45,36.75,73.3
AR,POINT (-91.3742443996367 34.2890451226643),Arkansas,2021,82.2,39.6,33.05,72.15
AR,POINT (-91.7684677225088 33.1912395259672),Ashley,2021,82.35,42.8,33.599999999999994,73.4
AR,POINT (-92.3369593879758 36.2869936509323),Baxter,2021,84.0,41.0,38.25,72.25
AR,POINT (-94.2558310001198 36.3389781548829),Benton,2021,85.1,32.1,32.099999999999994,68.7
AR,POINT (-93.0916817879006 36.3086436758994),Boone,2021,82.44999999999999,38.3,36.9,69.5
AR,POINT (-92.1624834155635 33.466623700772),Bradley,2021,82.35,42.400000000000006,36.2,72.35
AR,POINT (-92.5029413111612 33.5580587155721),Calhoun,2021,82.25,40.6,33.45,70.6
AR,POINT (-93.5382990189827 36.340959511681),Carroll,2021,84.55000000000001,38.55,35.2,69.85
AR,POINT (-91.2933505574654 33.2667470395332),Chicot,2021,81.5,48.5,35.1,75.25
AR,POINT (-93.1767308539705 34.0510757211807),Clark,2021,81.6,37.2,31.5,70.75
AR,POINT (-90.4170776785868 36.3683675945226),Clay,2021,80.4,41.3,35.3,71.5
AR,POINT (-92.0266618029566 35.5381671096059),Cleburne,2021,83.85,39.8,37.400000000000006,71.0
